Company,Website,Industry,Product/Service Category,Business Type,Employees Count,Revenue,Year Founded,BBB Rating,City,State,Company Phone,Company LinkedIn,Owner's First Name,Owner's Last Name,Owner's Title,Owner's LinkedIn,Owner's Phone Number,Owner's Email,Source,Lead Score
Elliott-Green,https://www.torres-torres.org/,Real Estate,EHR Systems,B2B2C,50,$10M-$50M,2018,B,East Natalieshire,NM,845.297.3262x637,https://jackson.com/,Daniel,Adams,Press photographer,https://www.fitzpatrick.net/,(337)579-3124x57838,,scraped,30
Shaffer LLC,https://williams.com/,Software Development,CRM,B2B,686,$50M+,2023,NR,South Bradley,MI,+1-019-593-8929x149,,Victoria,Taylor,IT technical support officer,,047.497.3764x918,,scraped,25
Conway PLC,https://liu-mahoney.com/,Finance,Mobile Apps,B2C,857,$50M+,2017,A,South Denise,WI,+1-132-040-0020x08033,https://fletcher.com/,Amanda,Klein,"Administrator, arts",http://www.martin-garcia.org/,(752)048-2905x091,campbellcaitlin@yahoo.com,scraped,28
"Wood, Beasley and Wolfe",https://www.curry.info/,Real Estate,EHR Systems,B2C,705,$10M-$50M,2012,NR,Raymondside,KS,6961603621,https://jackson.org/,Brandon,Sanders,"Engineer, maintenance (IT)",http://www.stephens.com/,001-075-456-0481,james45@yahoo.com,scraped,30
Yang Ltd,http://esparza.org/,Retail,Mobile Apps,B2B2C,571,$10M-$50M,2013,A,Jamesmouth,VA,001-441-589-7015,http://white-armstrong.biz/,Brittany,Rosario,Land,http://stevens.org/,983.395.1901x4897,danharris@braun-jones.com,manual,43
Wright-Hanna,https://www.fowler.com/,Finance,Mobile Apps,B2C,775,$10M-$50M,2010,A,South Angela,VA,(782)350-1303x91942,http://www.allen-collins.com/,William,Garza,Oncologist,https://delgado.info/,851.684.4000x52517,jaimehoward@bennett-mcdonald.org,manual,43
Floyd-Johnson,https://hernandez-hooper.com/,Finance,Custom Software,B2B2C,323,$50M+,2014,NR,East Calvinland,OH,001-101-561-1154x462,,Nancy,Barton,"Exhibitions officer, museum/gallery",,(633)551-6784x6464,bfreeman@gmail.com,manual,20
Bolton-Lowe,http://www.wells-jackson.com/,Retail,Custom Software,B2B,544,$500K-$1M,1995,C,Thomasmouth,ID,001-363-592-0955x4140,,Charles,Johnson,Actor,,238.214.5377x1403,daniel10@gmail.com,scraped,25
"Shepherd, Moore and Dennis",http://avila.org/,Software Development,EHR Systems,B2B,939,$1M-$10M,2023,C,Lake Emilyside,MS,482-526-6560x1299,http://jacobs.biz/,Christopher,Moss,"Engineer, water",https://www.velazquez.com/,580.408.1207x457,,scraped,40
Mann-Moore,http://gray.com/,Education,Accounting Tools,B2C,652,$500K-$1M,2007,A+,Gutierrezhaven,WV,(543)298-8843x578,,Brent,Duncan,Optometrist,,203-460-6335x74072,lisa44@yahoo.com,scraped,25
Taylor-Schaefer,https://www.munoz-lopez.com/,Education,Custom Software,B2C,459,$10M-$50M,2012,C,New Jesus,MD,(930)405-2730x62205,https://www.cardenas-williams.com/,David,Blackwell,Forensic psychologist,https://schmidt.biz/,9019984068,,scraped,25
Simmons-Johnson,http://www.brown.com/,Software Development,Accounting Tools,B2C,173,$10M-$50M,1990,A+,Reynoldsport,IN,(799)553-3655,,Tara,Hansen,Corporate treasurer,,363-783-1657,fbeard@wilson.com,scraped,45
"Garcia, Hill and Gamble",http://www.preston-dean.biz/,Finance,EHR Systems,B2B,374,$50M+,2001,C,Lake Jean,NH,(586)267-2162,,Daniel,Jimenez,Catering manager,,(810)834-6193x598,,manual,25
"Hood, Rice and Johnson",https://chavez-hester.com/,Software Development,e-Learning,B2B,164,$50M+,2020,A+,Amandaton,MS,+1-464-815-9241x6146,,Brittany,Meyers,Training and development officer,,852-574-5245x8623,kaylawilliams@harrell.com,manual,45
Wood and Sons,http://www.maldonado-bailey.com/,Healthcare,CRM,B2C,135,$50M+,1996,A+,East Carlos,MA,(892)972-6991,,Russell,Ryan,Cabin crew,,(498)838-7161x859,,manual,25
Murphy-Smith,https://www.alvarez.com/,Finance,Accounting Tools,B2C,91,$50M+,2010,A,West Mark,SC,+1-955-423-7600x2096,https://wall.com/,Sandra,Walker,"Surveyor, commercial/residential",http://nelson-evans.com/,+1-402-595-3507,collinssherry@dawson-smith.com,scraped,33
"Campbell, Robinson and Perry",http://www.moran.info/,Education,Accounting Tools,B2B2C,213,$10M-$50M,1996,A,Karenborough,OR,441.055.8274x08174,,Jennifer,Yates,Waste management officer,,+1-833-467-5282,,scraped,28
Sanchez LLC,https://holmes-riley.org/,Finance,Mobile Apps,B2B2C,654,$500K-$1M,1993,B,Vaughnville,AL,+1-616-762-9452x486,https://www.rogers-henderson.net/,James,Jackson,Print production planner,https://robinson.com/,001-001-465-1843x18640,,scraped,15
Hart-Carter,https://www.martinez-hill.com/,Finance,Mobile Apps,B2B,728,$50M+,2018,A,South Alan,WA,268-384-2985,,Stephen,Frank,Chartered accountant,,(322)597-5493x51572,,manual,33
"Torres, Grant and Mack",https://smith.biz/,Finance,Accounting Tools,B2C,27,$10M-$50M,2020,A+,New Anthony,SD,(650)719-3778x433,http://king-perry.net/,Kimberly,Jones,"Journalist, newspaper",https://www.williams.info/,831-594-7419x95636,amy20@nunez-powell.org,manual,45
Rich and Sons,http://baker.com/,Healthcare,Accounting Tools,B2B2C,973,$1M-$10M,2009,NR,Erikburgh,NY,555-333-3790x3173,https://palmer.com/,Scott,Maynard,Marine scientist,https://reese.info/,+1-322-588-5110x71326,,scraped,25
Obrien LLC,http://www.harvey.net/,Education,Mobile Apps,B2B,824,$50M+,2016,A+,West Janetstad,TX,(243)194-3534,,Rachel,Romero,Environmental manager,,195.915.0538,kristy34@gmail.com,scraped,35
Nelson PLC,https://york-lee.com/,Real Estate,e-Learning,B2B2C,841,$10M-$50M,2010,A,East Stephenmouth,AZ,1619473963,http://brown.com/,Dawn,Barajas,Chartered certified accountant,https://hoffman.info/,355.319.4175,natalie68@watson-chen.com,manual,43
Mora-Garza,http://knight.com/,Real Estate,Custom Software,B2B,369,$1M-$10M,1993,NR,Garzaborough,SC,0687278253,https://morgan.com/,Faith,Phillips,"Scientist, research (medical)",https://www.carter.net/,234.111.6327x8988,,scraped,35
"Hernandez, Avery and Medina",http://bryant-hull.biz/,Finance,Mobile Apps,B2B2C,532,$10M-$50M,2001,A,South Amanda,GA,279-128-6791,,Jason,Hall,Legal executive,,+1-688-799-4149x800,,scraped,28
Larsen Ltd,http://payne-farmer.net/,Education,EHR Systems,B2B2C,730,$50M+,2010,NR,Brockmouth,OH,401.900.7255x650,,Robert,Jones,"Engineer, maintenance",,728-161-6700x9240,,scraped,10
"Jones, Rodgers and Bishop",https://brown.info/,Software Development,EHR Systems,B2C,135,$10M-$50M,2016,A,South Christianport,HI,(151)863-8447x41120,,Edwin,Baldwin,"Psychologist, prison and probation services",,+1-081-283-8164x28226,mburns@hotmail.com,manual,48
"Harris, Calhoun and Jackson",http://www.davies.com/,Real Estate,Custom Software,B2B,351,$500K-$1M,2003,A+,South Stevenchester,AK,998.071.4449x583,,Brianna,Harrison,Radio producer,,691.795.6787,,manual,35
Taylor-Sims,http://www.owens.com/,Healthcare,EHR Systems,B2B,440,$1M-$10M,1997,A+,North Margaret,AL,(855)904-5136x138,https://www.stone-woodward.com/,Kenneth,Smith,"Designer, multimedia",https://ellison.com/,+1-255-199-2478x29319,,manual,50
Johnson and Sons,https://greene.com/,Software Development,Custom Software,B2C,32,$10M-$50M,2006,C,North Tara,DE,432.733.2943x9901,,Diana,Brown,Logistics and distribution manager,,(766)202-3562,,manual,40
Stewart Group,http://kelly.net/,Software Development,CRM,B2B2C,108,$500K-$1M,2001,NR,New Dwayne,NC,091-890-7169x94961,,John,Flores,Fine artist,,448.212.5458x70246,,manual,25
Gibson and Sons,https://skinner-johnson.org/,Retail,EHR Systems,B2B2C,820,$500K-$1M,2008,C,New Victoriabury,RI,001-672-282-4401x797,,Michael,Pineda,Visual merchandiser,,588.968.9954,rbaker@morgan.biz,manual,20
Smith Inc,https://sanders-chambers.org/,Education,e-Learning,B2B2C,930,$50M+,2024,A+,West Jennifer,OK,047.668.1856,http://lynn-mccullough.com/,Angela,Webb,Geochemist,https://chan-gilbert.com/,(636)869-1711x01983,fwilliamson@gmail.com,scraped,25
Gibson LLC,http://hall.biz/,Real Estate,e-Learning,B2B,52,$1M-$10M,2010,NR,South Lorifort,VT,007-344-1152x81651,,David,Strong,"Engineer, technical sales",,(419)781-7985,,manual,40
Alvarado LLC,https://www.johnson-stewart.biz/,Healthcare,EHR Systems,B2B,622,$10M-$50M,1991,A,Morganport,MS,387-174-7782x25195,https://bell-gregory.com/,Stephen,Williams,Glass blower/designer,https://nguyen.org/,633.888.3628,christopher95@phillips-weber.org,scraped,48
White-Mcguire,https://www.smith.com/,Retail,e-Learning,B2C,358,$10M-$50M,2009,A,Davidstad,KS,363-625-4000x28260,,Daniel,Bender,Building services engineer,,980.028.0245x8186,,scraped,28
Dunn Group,http://www.owens.com/,Software Development,Custom Software,B2B,938,$50M+,2005,A+,Michaelchester,MN,666-455-6643,,Amanda,Miller,Psychiatrist,,762.184.7244x7207,,manual,45
"Cook, Jones and Myers",https://guerrero.biz/,Retail,Custom Software,B2B2C,185,$1M-$10M,2009,A,Kaufmanborough,KS,(938)973-4206,,Chad,Fuller,Social researcher,,487-149-6876,turnermichael@gmail.com,manual,38
Smith and Sons,http://www.stephens-perkins.com/,Education,Mobile Apps,B2B,927,$1M-$10M,2019,C,Kennethfurt,CT,506.998.1998x935,http://www.johnson.com/,Anna,Hudson,Clinical molecular geneticist,https://anderson.biz/,(808)087-3143,renee42@yahoo.com,scraped,40
Padilla and Sons,http://davis.com/,Finance,CRM,B2C,699,$50M+,1995,B,Angelicashire,NJ,630-450-2221x64746,http://www.hernandez.com/,Paul,Campbell,Diagnostic radiographer,https://www.clark.com/,001-481-009-0063x629,,manual,20
Evans and Sons,http://johnston-young.com/,Retail,Custom Software,B2C,446,$50M+,1994,NR,Tammiehaven,DE,0363848535,https://kirby-roberts.biz/,Laura,Ford,Legal executive,https://myers.org/,(860)577-8792x55767,potterarthur@yahoo.com,scraped,20
George PLC,https://www.garcia.org/,Finance,Custom Software,B2B2C,652,$1M-$10M,1999,A,Brendaborough,ID,410.878.3237x5575,,Kathryn,Gordon,Chartered certified accountant,,0035608992,,manual,33
Duarte-Lewis,http://baird-young.info/,Education,Custom Software,B2C,484,$1M-$10M,1994,NR,East Amy,AZ,876-537-4850,,Andres,Cummings,Proofreader,,544-988-0454,,scraped,20
"Davies, Rodgers and Nichols",https://www.martinez-carson.com/,Software Development,CRM,B2B,785,$1M-$10M,2024,A,New Charles,AR,(446)924-0038,,Jorge,Johnson,"Surveyor, building control",,266.990.2166x8130,heathermcgee@hoffman.info,scraped,48
Jackson and Sons,https://powell.com/,Healthcare,CRM,B2B2C,490,$10M-$50M,2011,A,Lake Tricia,NE,917-224-3482,https://bullock.com/,Jasmin,Kelly,Hydrographic surveyor,http://tran.com/,253-795-1540,pkennedy@hill.com,scraped,38
Mcbride Group,http://lawson-macias.com/,Retail,EHR Systems,B2B,109,$50M+,1992,A,South Sharon,ID,(450)035-9361x470,,Angela,Kennedy,Communications engineer,,2851568026,,manual,33
Kaiser-Kelly,http://nguyen.com/,Real Estate,EHR Systems,B2B2C,783,$50M+,2011,A+,Callahanport,MO,907.642.7763x71010,,Melinda,Byrd,Civil Service administrator,,(326)334-3916x11592,shaffercharles@gmail.com,scraped,25
Thompson Group,https://www.henderson.com/,Software Development,Mobile Apps,B2C,623,$50M+,2021,B,New Mark,OH,001-427-371-2399,,Lisa,White,Health and safety adviser,,486.241.6065x9041,moniquekane@yahoo.com,scraped,20
Williams-Anthony,https://www.briggs.biz/,Healthcare,EHR Systems,B2B,190,$10M-$50M,2001,B,East Amyborough,FL,(560)243-2375x07861,,Christine,Price,"Production assistant, radio",,+1-346-963-2392x6144,jessica09@harris.com,manual,40
Flores Inc,https://www.smith.com/,Real Estate,Accounting Tools,B2B2C,588,$1M-$10M,2023,C,Cindyfurt,KY,231.875.6084x912,https://www.jackson.com/,Ashley,Wilson,Land,http://www.collins.com/,+1-591-582-7336x5940,dawsonalice@carter.com,scraped,25
Dunn LLC,http://serrano.com/,Education,Mobile Apps,B2B2C,154,$50M+,2023,C,Mariachester,WA,629.985.8502x565,,Shelby,Wood,"Horticulturist, commercial",,413.524.8479,,scraped,5
Dominguez and Sons,https://jones.com/,Software Development,CRM,B2B,142,$50M+,2001,A,South Kevin,CA,720-579-7634,,Zachary,Kelly,Amenity horticulturist,,+1-689-363-2467,zperez@bell.info,manual,48
Bailey LLC,http://park.com/,Real Estate,CRM,B2B2C,102,$50M+,2004,NR,Kellerville,OR,+1-247-572-6255,https://evans.info/,Destiny,Swanson,"Horticulturist, amenity",https://www.vance.info/,806-044-3251x88934,teresaparker@hotmail.com,manual,25
Chan-Scott,http://lee.com/,Education,CRM,B2B2C,834,$1M-$10M,2002,B,Michelleville,AR,236.230.6242x79818,http://www.johnson-walker.biz/,Brett,Brown,"Engineer, chemical",https://www.garcia.org/,(393)474-0509x2170,brian81@yahoo.com,manual,35
"Patterson, Miles and Avery",http://young.com/,Real Estate,Accounting Tools,B2B2C,346,$500K-$1M,2006,A+,South Joann,PA,001-200-714-3048x7409,,Danielle,Watkins,Pensions consultant,,510.505.5291x76012,,manual,25
"Buchanan, Vargas and Smith",https://www.soto-campbell.com/,Education,Mobile Apps,B2B2C,357,$10M-$50M,2007,A,North Jimville,MO,516.485.4250,https://www.kelley.org/,Kristine,Davis,Music therapist,http://turner.com/,+1-061-758-8851x92337,erin40@conley-mcintyre.com,scraped,38
Hardy Group,http://soto-ward.com/,Retail,e-Learning,B2B2C,115,$50M+,2020,NR,North Daniel,MA,(463)445-9030,http://www.martinez.com/,James,Mitchell,Pension scheme manager,https://www.henderson-kramer.com/,3621648198,qrobinson@yahoo.com,manual,20
Juarez Ltd,http://www.smith-dennis.info/,Real Estate,Accounting Tools,B2B2C,225,$500K-$1M,2002,C,South Ronaldside,AK,9450665219,http://burke.info/,Beverly,Lawson,Restaurant manager,https://www.mcneil.biz/,860-748-7718x43045,,scraped,15
"Mcfarland, Martinez and Freeman",http://ellis.com/,Retail,Custom Software,B2B,253,$50M+,2010,C,Port Robertbury,DE,(203)130-6464x19642,,Katherine,Gibson,"Teacher, special educational needs",,760.205.8313,,scraped,20
Stewart-Brooks,http://www.mcgee.com/,Retail,Mobile Apps,B2B2C,513,$500K-$1M,2003,NR,Ivanborough,NY,915-024-0964,,Sara,Ford,Chiropodist,,001-231-625-6730,,manual,15
"Valdez, Peters and Montgomery",http://www.cameron.biz/,Finance,Mobile Apps,B2B2C,517,$500K-$1M,2007,NR,West Donaldton,IN,992-375-9712x61731,https://lee.org/,Daniel,Jones,Landscape architect,https://jackson.net/,001-500-447-2285x021,kendra33@stewart-robertson.biz,manual,25
"Ellison, Riley and Love",https://www.snyder-kidd.com/,Retail,Custom Software,B2B,29,$10M-$50M,2024,B,Kathrynville,HI,(025)365-5356x94703,http://www.mckee.com/,Tammy,Hansen,"Engineer, energy",https://hardin.com/,001-757-985-3734x513,,scraped,35
Clark-Brown,https://rodriguez-brown.org/,Education,Mobile Apps,B2C,172,$1M-$10M,2009,B,New Marvinmouth,WI,296-754-7322x0912,,Ronnie,Perry,"Engineer, water",,977-034-6879x7014,amanda00@juarez.com,manual,30
"Henderson, Herrera and Carr",http://www.adams-cole.com/,Healthcare,CRM,B2B,173,$1M-$10M,2006,A+,Annachester,MS,+1-566-840-3343x3858,,Tiffany,Mccormick,Health physicist,,+1-396-353-5653x01268,,scraped,40
"Rodriguez, Lewis and Davis",https://young.com/,Software Development,Accounting Tools,B2B,196,$1M-$10M,2019,A+,Martinezborough,CT,+1-378-883-3738x9078,http://sherman.info/,Bethany,Velasquez,Environmental education officer,https://www.estes.com/,001-937-678-6853x4236,wallacecharles@maldonado.com,scraped,60
"Berry, Simpson and Garcia",http://gonzalez-smith.com/,Education,Custom Software,B2B2C,38,$500K-$1M,2015,A,Williamview,SC,001-798-328-4631x6503,http://washington.com/,Mark,Hill,Probation officer,http://www.collier-navarro.org/,633.676.1138,james27@sharp.org,manual,38
Church Ltd,https://hanson.org/,Healthcare,e-Learning,B2B,174,$50M+,1999,NR,Sherrytown,MI,598.905.9271,http://www.hayes-proctor.com/,Benjamin,Dixon,"Sound technician, broadcasting/film/video",http://www.day.com/,001-839-436-9297x928,connor64@gmail.com,manual,35
Stout-Gordon,https://www.lawson-wells.biz/,Real Estate,EHR Systems,B2B,915,$10M-$50M,2012,A,Barreraport,MS,012-000-2014x333,,Alicia,Walker,Secondary school teacher,,484.951.8200,,scraped,38
Phillips Group,https://www.wilson.com/,Education,Accounting Tools,B2C,477,$50M+,2007,A,East Wendy,ID,037-846-2919,,Jaclyn,Barber,"Journalist, magazine",,624-621-4658x7522,,scraped,18
Hernandez-Lynch,http://www.jones.com/,Software Development,Mobile Apps,B2C,912,$1M-$10M,2010,C,West Timothyshire,MI,001-632-162-8444x9096,https://www.cohen.com/,Sean,Hunt,Operational researcher,http://robinson.net/,4957733320,,scraped,35
Solomon Inc,http://west.com/,Software Development,EHR Systems,B2B2C,531,$50M+,2018,A+,East Samanthatown,CT,001-229-494-6129x0979,,April,Combs,"Therapist, drama",,986.905.3596,hernandezlynn@yahoo.com,manual,40
Bryan-Johnson,http://www.gonzales.biz/,Real Estate,CRM,B2C,953,$10M-$50M,2008,C,Christinaside,RI,+1-980-043-9659x923,,Danielle,Gonzales,Pensions consultant,,(007)204-9584,fclark@hotmail.com,manual,30
"Gillespie, Castillo and Tanner",https://williams-gonzalez.com/,Finance,CRM,B2B2C,592,$50M+,2014,B,East Jennifermouth,MS,(650)280-6778x77990,,Patricia,Sexton,Art therapist,,(160)485-3564,sotodavid@hotmail.com,manual,20
Cooke-Cooper,https://owens.com/,Finance,Accounting Tools,B2C,581,$50M+,1999,NR,Mooreport,KY,589-591-2600x87134,http://bailey.com/,Jim,Donovan,"Lecturer, further education",https://cordova-armstrong.com/,4522185770,,scraped,15
Ford-Garcia,http://www.novak.com/,Finance,CRM,B2C,790,$500K-$1M,2016,A,Lake Steven,WY,+1-895-000-8048x24953,,Robert,Herrera,Oncologist,,342.278.9009,,manual,23
"Lee, Ware and Terrell",https://smith-hernandez.org/,Real Estate,Mobile Apps,B2B,191,$10M-$50M,2006,NR,Soniaburgh,TX,590-423-1066x00695,,Debbie,Moore,Research scientist (life sciences),,632.462.2927,kathryn84@spears-lane.com,scraped,35
"Bell, Curtis and Miller",http://smith.com/,Retail,EHR Systems,B2B2C,858,$10M-$50M,2002,A,West Tracy,PA,001-685-360-2528x8447,https://villanueva.com/,Jane,Patel,"Psychologist, counselling",https://www.moore.com/,112-892-6347,ronald06@anthony.com,manual,43
Jimenez Inc,http://smith.com/,Finance,e-Learning,B2B,655,$500K-$1M,2023,B,New Annette,KS,(618)439-0520,,Tom,Joseph,"Lecturer, higher education",,+1-820-773-6118x481,aweeks@ross.com,manual,25
Anderson and Sons,http://www.martin.info/,Finance,EHR Systems,B2B,884,$10M-$50M,2023,C,North Michellemouth,CO,(855)267-8223x6448,https://wilson-howard.com/,Latasha,Steele,"Engineer, petroleum",http://www.lee.com/,(643)279-5616x2899,,manual,35
Sims Inc,http://strickland-adams.info/,Finance,e-Learning,B2B,79,$50M+,2005,NR,West Kathleentown,KS,(209)680-8881,http://simon.com/,Charles,Morales,Financial planner,https://wilson.com/,001-065-548-5783x68047,,manual,35
Burns-Rodriguez,https://www.benjamin.com/,Education,EHR Systems,B2B2C,929,$1M-$10M,2022,C,Floresside,CT,(032)415-2620x94036,https://www.taylor.org/,Reginald,Carpenter,Public relations officer,https://evans.com/,486.833.0130,rachel59@yahoo.com,manual,30
Houston Ltd,http://gallagher.info/,Finance,CRM,B2C,427,$50M+,1993,A+,New Jenniferport,NC,001-316-110-5869x013,,Maria,Jordan,Chartered certified accountant,,112-574-0792x70401,,manual,25
Hanna-Marsh,http://www.nelson-brown.com/,Healthcare,EHR Systems,B2B2C,239,$10M-$50M,1994,C,North Michael,SD,720-053-4954x3474,https://www.gonzalez-newton.com/,Jennifer,Young,Financial manager,https://www.buckley.com/,218.960.9222,morrowgabriella@vasquez-franklin.com,scraped,30
"Walter, Whitehead and Fleming",https://fisher.com/,Real Estate,Mobile Apps,B2B,605,$500K-$1M,2007,C,East Casey,VT,392-199-1469x03946,http://simmons.com/,Michael,Holt,Barrister,https://www.pugh.com/,(710)954-4678x636,robert03@roberts.com,manual,35
Williams-Velasquez,http://www.flores-morris.org/,Retail,Accounting Tools,B2C,770,$50M+,2012,B,North Jamesberg,MA,018.066.0690x17812,https://www.alvarado.com/,Paul,Bush,Financial adviser,https://bennett.com/,+1-561-482-1015x9240,lisaglenn@sanders-moore.com,manual,25
Wilson LLC,https://www.villegas.net/,Education,EHR Systems,B2C,203,$1M-$10M,2008,A+,Michaelstad,DC,036.648.4710x60239,,Erin,Robinson,Adult nurse,,666-905-3873,shannonkirk@yahoo.com,manual,40
"Garcia, Jensen and Mclean",https://carpenter.biz/,Finance,e-Learning,B2B2C,358,$10M-$50M,2005,NR,Johnsonmouth,GA,387.029.9336,,Jessica,Obrien,Ecologist,,001-938-752-9009,hilljoseph@montgomery.biz,scraped,25
Atkins PLC,http://www.gilmore.com/,Retail,EHR Systems,B2B,505,$500K-$1M,2018,C,East Teresa,RI,001-357-972-0303x10113,https://www.irwin.com/,Nicole,Sanchez,"Doctor, general practice",http://miller-parker.org/,749.379.7772x920,,manual,30
Kemp and Sons,http://www.austin.com/,Real Estate,EHR Systems,B2B,438,$50M+,1993,A+,Davisfort,MI,673-334-3880x27889,https://evans-walters.com/,Stephanie,Armstrong,Chief of Staff,http://coleman-edwards.net/,001-087-172-1423x1960,cwall@hotmail.com,scraped,40
Watkins LLC,https://orr.biz/,Real Estate,e-Learning,B2B2C,606,$10M-$50M,1990,A,Ramosbury,CO,001-094-459-9790x63803,,Barbara,Hughes,International aid/development worker,,(286)221-2303x70942,michaelnorman@hancock-king.net,scraped,33
"Mann, Collins and Decker",http://porter.com/,Retail,CRM,B2B2C,49,$10M-$50M,2016,A+,West Melissastad,HI,(752)119-6148,,Katherine,Shields,Community development worker,,+1-122-303-8422x014,cdunn@yahoo.com,manual,45
Morgan Inc,http://mendez.org/,Real Estate,e-Learning,B2B2C,568,$1M-$10M,2004,C,Cameronfurt,ID,(101)969-4666x63349,https://www.gentry-herrera.org/,David,King,"Surveyor, quantity",http://johnson.net/,324.041.5815,robert79@chambers.com,scraped,30
"Smith, Fox and Smith",https://www.holt.biz/,Finance,Custom Software,B2B2C,485,$50M+,2019,A+,Williamsside,MT,801-789-9621x169,,Cindy,Smith,"Conservator, furniture",,232.819.8202,,manual,25
Gallegos and Sons,https://www.williams-carroll.com/,Retail,Mobile Apps,B2B,870,$10M-$50M,2021,C,Elizabethberg,KS,802-636-5396x97411,http://www.harris-flores.com/,Cheryl,Rivera,Air traffic controller,https://hill-hunter.net/,406.311.6925x14537,mallorysims@gmail.com,manual,40
"Griffith, Cain and Wilson",https://www.johnson.info/,Retail,EHR Systems,B2B2C,59,$50M+,2019,A+,North Joshuabury,VT,437-202-0042,http://www.ryan.com/,Crystal,Williams,"Scientist, research (medical)",https://www.cox-smith.com/,+1-642-187-4614x01270,anthonyhaley@brooks.net,scraped,35
Gonzales-Jensen,http://osborne.com/,Retail,CRM,B2C,351,$500K-$1M,1993,C,South Williamfort,KS,001-865-070-6301x294,,Scott,Wu,Waste management officer,,+1-623-376-9293x37197,,scraped,10
Gray Group,https://www.king.com/,Healthcare,Custom Software,B2B,314,$10M-$50M,1998,NR,South Michelle,DE,157.026.2755x08641,https://campbell.com/,Peter,Thompson,IT trainer,https://yates.com/,001-960-495-4563,gregory14@gmail.com,manual,45
"Hughes, Mccarty and Martinez",https://rosales-young.com/,Retail,Accounting Tools,B2C,171,$50M+,1993,A,Lake Amyport,KY,017-333-3725x3801,http://morris.com/,Diana,Young,Science writer,https://hardy.com/,001-445-272-3469x1406,gsimmons@crawford.com,manual,33
Porter Ltd,http://hale.com/,Healthcare,Custom Software,B2C,663,$500K-$1M,1995,C,Amandaton,WY,(629)731-7481x937,http://www.scott-haley.org/,Hannah,Cole,Podiatrist,https://swanson.com/,001-492-280-1628,,scraped,15
"King, Anderson and Phillips",http://www.gomez.info/,Finance,Custom Software,B2B2C,799,$1M-$10M,1997,A,Garrettton,ND,259.463.5352x53822,,Charles,Gross,"Administrator, charities/voluntary organisations",,(616)077-1671,umoran@mclaughlin.com,manual,38
Long Group,https://www.smith.com/,Education,Mobile Apps,B2B2C,29,$500K-$1M,2024,C,New Martinstad,UT,963.701.1832x625,https://www.valenzuela.com/,Kevin,Chavez,Chief of Staff,http://walker-martinez.com/,(534)089-7489x19293,,manual,20
"Smith, Hunter and Weaver",http://www.barnes.com/,Healthcare,e-Learning,B2B,469,$50M+,2019,B,Teresaberg,KY,164.032.3786x308,http://www.jones-freeman.com/,Carlos,Lara,Chartered loss adjuster,https://henson.com/,(322)081-6412x320,richardpratt@hotmail.com,scraped,30
"James, Buchanan and Villa",https://www.wallace.info/,Real Estate,EHR Systems,B2B,11,$10M-$50M,2002,B,Port Michael,MI,(867)919-2865x95862,http://www.reeves-price.biz/,Laura,Figueroa,Legal executive,http://www.larson.com/,959.738.6570x8216,walkerchristine@horton-lam.info,manual,50
Smith-Mendez,http://www.moore.com/,Real Estate,CRM,B2B2C,948,$50M+,1993,A+,New Elizabethville,NV,237.352.6226x0361,http://www.parker.com/,Aaron,Price,Stage manager,http://garrett-myers.org/,500-665-8011x151,,scraped,25
"Bennett, Johnson and Hall",https://www.torres.biz/,Healthcare,Mobile Apps,B2B,995,$10M-$50M,1995,NR,Kelleyberg,VT,9562712074,http://reeves.biz/,Francisco,Carter,"Accountant, chartered certified",https://www.ortiz.com/,001-758-519-8189x4399,pdennis@jackson.biz,scraped,40
Clarke-Garcia,https://www.jones.com/,Education,Mobile Apps,B2B2C,247,$50M+,2015,NR,Port Natasha,LA,341.863.9714,,Christopher,Beck,Psychiatric nurse,,001-967-232-3669x1209,,scraped,10
Roberts-Lee,https://greene.com/,Finance,Custom Software,B2B,97,$10M-$50M,2004,A+,Jacobberg,IA,+1-910-404-9461x08482,,Maria,Higgins,Trade mark attorney,,584-648-1485,,scraped,45
Hamilton LLC,http://padilla-wright.com/,Software Development,Mobile Apps,B2B,234,$10M-$50M,1990,A,South Andrewberg,DC,001-668-592-1107x9412,http://www.scott.com/,Ashley,Smith,"Presenter, broadcasting",https://saunders.biz/,001-170-107-6701x86854,,manual,58
"Harrison, Garcia and Garcia",http://ortega-lopez.com/,Education,Accounting Tools,B2B,884,$50M+,2004,B,Jennifermouth,CT,1969043957,,Michael,Jackson,Museum/gallery exhibitions officer,,(342)241-2877x9459,,scraped,20
"Patterson, Mills and Davis",https://glenn.com/,Healthcare,Custom Software,B2C,501,$500K-$1M,2013,NR,New Rachel,VT,101.539.5111x53017,https://www.montgomery.com/,Latoya,Rodriguez,Call centre manager,https://www.gilbert-johnson.com/,510-897-7612,bradleyrodriguez@yahoo.com,manual,25
Davis-Simon,http://brown.info/,Real Estate,CRM,B2B,343,$1M-$10M,2017,C,Gabrielshire,IL,+1-812-973-2459x19725,,Jennifer,Knight,"Surveyor, commercial/residential",,+1-435-909-0772x35121,tsampson@yahoo.com,manual,40
Turner-Smith,https://www.schmidt.com/,Real Estate,Accounting Tools,B2B,203,$10M-$50M,2017,B,Garciamouth,NV,867.949.8630x5905,http://www.pham.com/,Ashley,Waller,Quantity surveyor,https://barnes.org/,(905)586-8366x439,,manual,40
